Id,Title,Author,Year,Pages,Genre,Finished,Rating
1,Whispers in the Dust,Amira Patel,2019,384,Fiction,True,4.1
3,Echoes of Tomorrow,Nadia Volkov,2016,428,Software,True,4.4
4,The Forgotten Heir,Eleanor Bryce,2008,512,Fantasy,True,5
5,Code and ConSoftwareience,Marcus Ito,2020,298,Software,True,4.2
6,Beneath the Willow Moon,Sophia Anders,2013,402,Romance,False,
7,Mind Over Matter,Jacob Ellis,2017,289,SelfHelp,True,4.5
8,The Final Equation,Ahmed Rahman,2022,376,Thriller,True,4.0
9,Tides of Glass,Lina S�rensen,2010,448,Fantasy,False,
10,The Innovator�s Dilemma Revisited,Chen Wei,2018,354,NonFiction,True,4.3
11,A World Between Stars,Elena Kuznetsova,2024,512,Software,True,4.6
12,The Price of Silence,Owen Fitzgerald,2005,398,Mystery,False,
13,Hearts Under Fire,Natalie Cruz,2015,275,Romance,True,4.1
14,The Coded Mind,Yasmin Ortega,2021,332,Software,False,
15,Beyond the Riverbend,Samuel Boateng,2011,480,History,True,4.4
16,Into the Abyss,Richard Monroe,2007,366,Thriller,False,
17,The Wandering Star,Chiara Bellini,2020,614,Fantasy,True,4.9
18,Hidden Truths,Emily Johansson,2009,451,Mystery,False,
19,The Empath�s Guide to Clarity,Ruth Kim,2022,272,SelfHelp,True,4.8
20,Portraits of the Unknown,Andre Dubois,2014,390,Biography,False,
